Nalu Norm Post Processing.......
Field        Step        Time  Node Count         Loo          L1          L2
        dpdx[2]          14       0.035       18513   0.0180839  0.00121061  0.00259425
    velocity[0]           7      0.0175       18513  0.00832899  0.00188187  0.00287349
    velocity[1]           7      0.0175       18513  0.00823984   0.0017315  0.00275996
    velocity[2]           7      0.0175       18513 0.000457213 2.33407e-05 5.39684e-05
        dpdx[0]           7      0.0175       18513     32.5907     1.04092     4.91089
        dpdx[1]           7      0.0175       18513     32.3842     1.01025     4.89913
        dpdx[2]           7      0.0175       18513   0.0263141  0.00200681  0.00417643
    velocity[0]          15      0.0375       18513  0.00917305  0.00233027  0.00321059
    velocity[1]          15      0.0375       18513  0.00886617  0.00195717  0.00280511
    velocity[2]          15      0.0375       18513  0.00097496 5.19196e-05 0.000118943
        dpdx[0]          15      0.0375       18513     31.8236     1.00387     4.84039
        dpdx[1]          15      0.0375       18513     31.4002    0.990277     4.83295
        dpdx[2]          15      0.0375       18513   0.0175724  0.00116671  0.00249245
    velocity[0]           8        0.02       18513  0.00845698  0.00196096   0.0029379
    velocity[1]           8        0.02       18513  0.00821966  0.00177223  0.00278252
    velocity[2]           8        0.02       18513 0.000518322 2.70558e-05  6.1622e-05
        dpdx[0]           8        0.02       18513     32.2783      1.0283     4.88369
        dpdx[1]           8        0.02       18513     32.0471     1.00164     4.87319
        dpdx[2]           8        0.02       18513   0.0224276  0.00168708  0.00359431
    velocity[0]          16        0.04       18513  0.00943431  0.00237851  0.00326065
    velocity[1]          16        0.04       18513  0.00909754  0.00198064  0.00281236
    velocity[2]          16        0.04       18513  0.00104168 5.43313e-05 0.000124819
        dpdx[0]          16        0.04       18513     31.6136    0.993753     4.80848
        dpdx[1]          16        0.04       18513     31.1736    0.982537     4.80228
        dpdx[2]          16        0.04       18513   0.0163548  0.00108902  0.00233491
    velocity[0]           9      0.0225       18513  0.00838345  0.00201265  0.00295585
    velocity[1]           9      0.0225       18513  0.00818091  0.00179284  0.00276518
    velocity[2]           9      0.0225       18513 0.000608203 3.20241e-05  7.2931e-05
        dpdx[0]           9      0.0225       18513     32.3859     1.03121     4.89782
        dpdx[1]           9      0.0225       18513     32.1121     1.00371     4.88557
        dpdx[2]           9      0.0225       18513   0.0244545  0.00180345  0.00378956
    velocity[0]          17      0.0425       18513  0.00966545  0.00241631  0.00329231
    velocity[1]          17      0.0425       18513  0.00930552  0.00200884  0.00283265
    velocity[2]          17      0.0425       18513  0.00111071 5.66832e-05 0.000130689
        dpdx[0]          17      0.0425       18513     31.6221    0.994968     4.81599
        dpdx[1]          17      0.0425       18513     31.2299    0.984762     4.81038
        dpdx[2]          17      0.0425       18513   0.0157501  0.00105234  0.00225824
    velocity[0]          10       0.025       18513  0.00860236  0.00208039  0.00301351
    velocity[1]          10       0.025       18513  0.00814987  0.00182647  0.00277617
    velocity[2]          10       0.025       18513 0.000668797 3.56224e-05 8.07974e-05
        dpdx[0]          10       0.025       18513     32.1366     1.01974     4.86924
